タイトル,メーカー,発売日,ジャンル,価格,備考,所持
アークススピリッツ,サミー,34264,アクションRPG,8900,－,×
アースライト,ハドソン,33809,シミュレーション,8500,－,×
アースライト ルナ・ストライク,ハドソン,35272,シミュレーション,7980,－,×
アースワーム・ジム,タカラ,34873,アクション,9800,－,×
機甲警察メタルジャック,アトラス,33816,アクション,8800,－,×
R-TYPEIII,アイレム,34313,シューティング,9800,－,×
R.P.M.Racing,ビクターエンタテインメント,33682,レース,8800,－,×
RPGツクール SUPER DANTE,アスキー,34789,その他,9800,－,×
RPGツクール2,アスキー,35095,その他,12800,－,×
アイアンコマンドー,ポッポ,34740,アクション,9800,－,×
アイ・オブ・ザ・ビホルダー,カプコン,34411,RPG,12800,－,×
アウター・ワールド,ビクターエンタテインメント,33935,アクション,8800,－,×
蒼き伝説 シュート!,KSS,34684,スポーツ,10800,－,×
赤ずきんチャチャ,トミー,35286,RPG,7800,－,×
アクションパチ夫,ココナッツジャパンエンターテイメント,34068,アクション,9500,－,×
アクスレイ,コナミ,33858,シューティング,8800,－,×
アクセルブリッド,トミー,34299,アクション,9800,－,×
アクタリオン,テクモ,34278,RPG,8900,－,×
アクトレイザー,エニックス,33223,アクション,8000,－,×
アクトレイザー2 沈黙への聖戦,エニックス,34271,アクション,9300,－,×
悪魔城ドラキュラ,コナミ,33542,アクション,8800,－,×
悪魔城ドラキュラXX,コナミ,34901,アクション,9800,－,×
アクロバットミッション,テイチク,33858,シューティング,8800,－,×
朝日新聞連載 加藤一二三九段将棋 心技流,バリエ,34964,テーブル,12300,－,×
あさめしまえにゃんこ,バンプレスト、ザムス,34411,テーブル,8800,－,×
あしたのジョー,ケイ・アミューズメントリース,33935,スポーツ,8900,－,×
アダムスファミリー,ミサワエンターテインメント,33900,アクション,8800,－,×
アップルシード,ヴィジット,34572,アクション,9800,－,×
アニマニアクス,コナミ,35496,アクション,5800,－,×
アニマル武乱伝～ブルータル～,ケムコ,34690,対戦格闘,9800,－,×
アメージングテニス,パック・イン・ビデオ,33956,スポーツ,8800,－,×
アメリカ横断ウルトラクイズ,トミー,33928,その他,8700,－,×
アメリカン バトルドーム,ツクダオリジナル,35041,アクション,9800,－,×
あらいぐま ラスカル,日本コンピュータシステム,34418,パズル,8900,－,×
アラジン,カプコン,34299,アクション,9000,－,×
アラビアンナイト,タカラ,35230,RPG,7800,－,×
アリスのペイントアドベンチャー,エポック社,34957,アドベンチャー,8800,－,×
アリョール,アルトロン,34551,パズル,9800,－,×
アルカエスト,スクウェア,34320,アクション,8800,－,×
アルカノイド -Doh It Again-,タイトー,35445,アクション,4980,－,×
アルディライトフット,アスキー,34299,アクション,9800,－,×
アルバートオデッセイ,サンソフト,34033,RPG,9600,－,×
アルバートオデッセイ2,サンソフト,34690,シミュレーション,9980,－,×
アレサ,やのまん,34299,RPG,9800,－,×
アレサII,やのまん,34670,RPG,9900,－,×
アンジェリーク,光栄,34600,シミュレーション,9800,－,×
アンジェリーク ヴォイス・ファンタジー,光栄,35153,シミュレーション,9800,－,×
アンジェリーク プレミアムBOX,光栄,35041,シミュレーション,9800,－,×
アンダーカバーコップス,バリエ,34761,アクション,9800,－,×
アンドレ・アガシ テニス,日本物産,34424,スポーツ,8800,－,×
イースIII ワンダラーズ フロム イース,トンキンハウス,33410,アクションRPG,8800,－,×
イースIV～Mask of The Sun～,トンキンハウス,34292,アクションRPG,9800,－,×
イースV 失われた砂の都ケフィン,日本ファルコム,35062,アクションRPG,12800,－,×
イースV エキスパート,光栄,35146,アクションRPG,11800,－,×
イーハトーヴォ物語,ヘクト,34033,アドベンチャー,9700,－,×
怒りの要塞,ジャレコ,34082,アクション,8700,－,×
囲碁倶楽部,ヘクト,35090,テーブル,12800,－,×
磯釣り 離島編,パック・イン・ビデオ,1996-01-19 00:00:00,スポーツ,10800,廉価版：1996/8/30、\5980,×
いただきストリート2,エニックス,1994-02-26 00:00:00,テーブル,9800,廉価版：1997/9/26、\5900,×
一発逆転!! 競馬・競輪・競艇,POW,35181,その他,9800,－,×
イデアの日,ショウエイシステム,34411,RPG,9700,－,×
糸井重里のバス釣りNo.1,任天堂,35482,スポーツ,7800,－,×
伊藤果六段の将棋道場,アスク講談社,34369,テーブル,9600,－,×
稲妻サーブだ!スーパービーチバレー,ヴァージンインタラクティブエンターテインメント,34915,スポーツ,9800,－,×
イルバニアンの城,日本クラリービジネス,34635,シミュレーション,9980,－,×
インターナショナル・テニスツアー,マイクロワールド,34054,スポーツ,8900,－,×
インディ・ジョーンズ,ビクターエンタテインメント,34908,アクション,10800,－,×
ウィザードリィI・II・III ～Story of Llylgamyn～,メディアファクトリー,36312,RPG,3000,ニンテンドーパワー専用,×
ウィザードリィV,アスキー,33928,RPG,9800,－,×
ウィザードリィVI,アスキー,34971,RPG,12800,－,×
ウィザードリィ・外伝IV～胎魔の鼓動～,アスキー,35328,RPG,8000,－,×
ウィザップ!,アスキー,34599,RPG,9900,－,×
ウイニングポスト,光栄,34222,その他,12800,－,×
ウイニングポスト2,光栄,34776,その他,12800,－,×
ウイニングポスト2 プログラム'96,光栄,35342,その他,9800,－,×
ウイングコマンダー,アスキー,34173,シューティング,9800,－,×
ウェディングピーチ,KSS,34971,その他,9800,－,×
ヴェルヌ・ワールド,バンプレスト,34971,RPG,11800,－,×
ウォーリーをさがせ!絵本の国の大冒険,トミー,34019,アドベンチャー,9500,－,×
ウォーロック,アクレイム ジャパン,34845,アクション,10900,－,×
ヴォルテックス,パック・イン・ビデオ,34677,シューティング,9900,－,×
うしおととら,ユタカ,33994,アクション,8800,－,×
宇宙の騎士テッカマンブレード,ベック,34180,アクション,8800,－,×
宇宙レース アストロゴー!ゴー!,メルダック,34390,レース,9800,－,×
海釣り名人～スズキ編～,エレクトロニック・アーツ・ビクター,1994-12-16 00:00:00,スポーツ,9800,廉価版：1996/12/20、\6500,×
海のぬし釣り,パック・イン・ビデオ,35265,スポーツ,7800,－,×
海腹川背,TNN,34691,アクション,9800,－,×
ウルヴァリン,アクレイム ジャパン,34726,アクション,10900,－,×
ウルティマVI,ポニーキャニオン,33697,RPG,9800,－,×
ウルティマVII ザ・ブラックゲート,ポニーキャニオン,34656,RPG,9800,－,×
ウルティマ外伝,エレクトロニック・アーツ・ビクター,34502,RPG,9800,－,×
ウルティマ恐竜帝国,ポニーキャニオン,34908,RPG,9800,－,×
ウルティメイトフットボール,サミー,33809,スポーツ,8700,－,×
ウルトラセブン,バンダイ,34054,対戦格闘,8800,－,×
ウルトラベースボール実名版,マイクロアカデミー,33844,スポーツ,8800,－,×
ウルトラベースボール実名版2,カルチャーブレーン,34690,スポーツ,9800,－,×
ウルトラベースボール実名版3,カルチャーブレーン,34999,スポーツ,9800,－,×
ウルトラマン,バンダイ,33334,対戦格闘,7800,－,×
ウルトラリーグ,ユタカ,34908,スポーツ,9800,－,×
ウルフェンシュタイン3D,イマジニア,34375,アクション,9800,－,×
エアーマネジメント・大空に賭ける,光栄,33699,シミュレーション,11800,－,×
エアーマネジメントII 航空王をめざせ,光栄,34061,シミュレーション,12800,－,×
永遠のフィレーナ,徳間書店インターメディア,34755,RPG,9800,－,×
エイリアン3,アクレイム ジャパン,34159,アクション,8800,－,×
エイリアンVSプレデター,アイ・ジー・エス,33977,アクション,9800,－,×
AIII S.V.,パック・イン・ビデオ,34971,シミュレーション,10800,－,×
エースをねらえ!,日本テレネット,34325,スポーツ,9400,－,×
ABCマンデーナイトフットボール,データイースト,34299,スポーツ,9000,－,×
エキゾースト・ヒート,セタ,33655,レース,8900,－,×
エキゾースト・ヒート F1ドライバーへの軌跡,セタ,34033,レース,9800,－,×
SD F-1グランプリ,ビデオシステム,34999,レース,10900,－,×
SDガンダムX,ユタカ,33865,シミュレーション,9500,－,×
SDガンダム外伝2 円卓の騎士,ユタカ,33956,RPG,9500,－,×
SDガンダム外伝 ナイトガンダム物語,エンジェル,33593,RPG,9500,－,×
SDガンダムGX,バンダイ,34481,シミュレーション,9800,－,×
SDガンダム GNEXT,バンダイ,35055,シミュレーション,12800,－,×
SDガンダム GNEXT専用ロムパック ユニット&マップコレクション,バンダイ,35153,その他,3800,－,×
SDガンダム Power Formation Puzzle,バンダイ,35090,パズル,8800,－,×
SD機動戦士ガンダム2,エンジェル,34235,アクション,8800,－,×
SD機動戦士ガンダム V作戦始動,エンジェル,33859,アクション,7800,－,×
SDザ・グレイトバトル,バンプレスト,33236,アクション,8200,－,×
S.T.G.,アテナ,33690,シューティング,8900,－,×
SD飛龍の拳,カルチャーブレーン,34502,対戦格闘,9800,－,×
エストポリス伝記,タイトー,34145,RPG,8900,－,×
